x,y,z,CdrA_molecule,Cell,Tomogram
896.725,686.86,169.247,5,2,d01t11_even
900.627,688.223,175.529,5,2,d01t11_even
904.166,688.412,180.382,5,2,d01t11_even
906.382,691.605,185.901,5,2,d01t11_even
911.864,694.106,195.199,5,2,d01t11_even
916.038,696.35,202.554,5,2,d01t11_even
821.048,580.498,209.33,6,2,d01t11_even
827.687,582.699,207.613,6,2,d01t11_even
844.209,586.612,203.673,6,2,d01t11_even
864.085,591.061,198.975,6,2,d01t11_even
878.24,594.786,195.647,6,2,d01t11_even
891.596,597.749,192.506,6,2,d01t11_even
902.283,597.823,190.247,6,2,d01t11_even
917.324,600.247,186.757,6,2,d01t11_even
109.445,332.54,257.708,7,2,d01t11_even
107.79,322.335,255.064,7,2,d01t11_even
106.591,311.027,252.266,7,2,d01t11_even
105.171,303.747,250.33,7,2,d01t11_even
102.368,292.819,247.284,7,2,d01t11_even
101.454,286.412,245.65,7,2,d01t11_even
99.5395,276.598,243.04,7,2,d01t11_even
99.6733,266.963,240.897,7,2,d01t11_even
100.501,254.122,239.404,7,2,d01t11_even
177.813,324.11,222.939,8,2,d01t11_even
172.453,309.324,229.922,8,2,d01t11_even
169.601,297.556,234.665,8,2,d01t11_even
166.596,288.749,238.344,8,2,d01t11_even
162.354,273.465,244.509,8,2,d01t11_even
158.635,264.019,249.364,8,2,d01t11_even
155.75,259.875,252.557,8,2,d01t11_even
150.4,253.8,253.0,8,2,d01t11_even
800.059,544.802,177.044,9,2,d01t11_even
820.845,546.573,176.947,9,2,d01t11_even
839.705,550.704,176.838,9,2,d01t11_even
853.603,557.43,176.73,9,2,d01t11_even
862.463,568.558,176.265,9,2,d01t11_even
864.988,575.548,176.143,9,2,d01t11_even
150.173,1191.06,217.642,10,2,d01t11_even
154.355,1205.47,216.779,10,2,d01t11_even
160.758,1220.14,215.858,10,2,d01t11_even
171.261,1234.38,214.879,10,2,d01t11_even
178.262,1247.76,214.016,10,2,d01t11_even
183.042,1260.9,213.21,10,2,d01t11_even
182.015,1269.77,212.749,10,2,d01t11_even
181.414,1282.74,212.059,10,2,d01t11_even
291.618,1190.02,211.415,11,2,d01t11_even
293.062,1195.9,209.2,11,2,d01t11_even
296.711,1204.05,206.352,11,2,d01t11_even
296.481,1212.48,202.872,11,2,d01t11_even
295.111,1220.54,199.391,11,2,d01t11_even
287.77,1230.12,194.486,11,2,d01t11_even
283.51,1238.0,190.689,11,2,d01t11_even
278.186,1243.99,187.524,11,2,d01t11_even
275.029,1251.08,184.202,11,2,d01t11_even
270.008,1258.71,180.405,11,2,d01t11_even
233.075,1194.61,201.746,12,2,d01t11_even
233.242,1198.72,201.595,12,2,d01t11_even
234.126,1207.08,201.277,12,2,d01t11_even
235.367,1217.56,200.875,12,2,d01t11_even
235.701,1225.78,200.573,12,2,d01t11_even
237.817,1233.86,200.238,12,2,d01t11_even
238.892,1240.22,199.987,12,2,d01t11_even
243.531,1246.29,199.669,12,2,d01t11_even
246.296,1249.28,199.501,12,2,d01t11_even
276.5,312.5,161.609,13,2,d01t11_even
271.167,299.224,161.013,13,2,d01t11_even
266.559,283.394,160.322,13,2,d01t11_even
262.741,267.582,159.641,13,2,d01t11_even
258.592,252.394,158.982,13,2,d01t11_even
254.827,241.008,158.479,13,2,d01t11_even
253.212,232.358,158.113,13,2,d01t11_even
810.333,560.333,164.0,14,2,d01t11_even
822.405,564.048,165.018,14,2,d01t11_even
836.719,568.803,166.249,14,2,d01t11_even
854.053,571.083,167.506,14,2,d01t11_even
866.407,575.465,168.587,14,2,d01t11_even
872.571,575.113,168.955,14,2,d01t11_even
882.655,580.233,169.942,14,2,d01t11_even
892.633,580.607,170.602,14,2,d01t11_even
895.606,582.034,170.887,14,2,d01t11_even
863.335,833.221,161.511,15,2,d01t11_even
876.876,838.399,164.029,15,2,d01t11_even
891.141,843.719,166.677,15,2,d01t11_even
904.79,846.093,168.377,15,2,d01t11_even
915.166,848.749,168.117,15,2,d01t11_even
924.381,850.209,167.889,15,2,d01t11_even
935.572,851.981,167.612,15,2,d01t11_even
939.867,854.686,167.498,15,2,d01t11_even
944.0,858.125,167.408,15,2,d01t11_even
220.855,316.939,208.238,16,2,d01t11_even
220.31,304.939,215.818,16,2,d01t11_even
221.011,294.995,221.805,16,2,d01t11_even
224.197,276.138,232.685,16,2,d01t11_even
228.527,260.023,241.574,16,2,d01t11_even
234.203,245.28,249.269,16,2,d01t11_even
234.954,234.994,255.456,16,2,d01t11_even
120.138,1184.42,190.112,17,2,d01t11_even
120.571,1194.22,190.196,17,2,d01t11_even
124.88,1203.02,190.279,17,2,d01t11_even
126.484,1214.17,190.377,17,2,d01t11_even
134.889,1227.72,190.51,17,2,d01t11_even
141.266,1243.01,190.653,17,2,d01t11_even
145.027,1259.39,190.8,17,2,d01t11_even
226.049,1195.25,203.396,18,2,d01t11_even
240.033,1220.69,193.515,18,2,d01t11_even
255.443,1236.2,185.771,18,2,d01t11_even
272.0,1258.55,176.024,18,2,d01t11_even
400.529,1185.47,201.452,19,2,d01t11_even
395.021,1199.75,210.964,19,2,d01t11_even
390.884,1209.83,217.728,19,2,d01t11_even
382.713,1216.8,223.435,19,2,d01t11_even
377.794,1224.13,228.719,19,2,d01t11_even
368.293,1233.88,236.329,19,2,d01t11_even
365.0,1241.38,241.402,19,2,d01t11_even
459.545,1170.12,222.165,20,2,d01t11_even
454.687,1180.26,220.188,20,2,d01t11_even
449.128,1181.63,219.596,20,2,d01t11_even
442.545,1195.02,216.974,20,2,d01t11_even
434.073,1198.76,215.805,20,2,d01t11_even
429.658,1206.93,214.177,20,2,d01t11_even
420.201,1215.44,212.163,20,2,d01t11_even
413.427,1230.65,209.23,20,2,d01t11_even
434.129,1185.35,174.695,21,2,d01t11_even
436.425,1195.67,181.408,21,2,d01t11_even
431.986,1198.28,184.554,21,2,d01t11_even
430.989,1206.96,191.042,21,2,d01t11_even
424.568,1217.71,200.566,21,2,d01t11_even
413.445,1229.29,212.036,21,2,d01t11_even
422.588,1184.91,178.22,22,2,d01t11_even
426.229,1194.69,186.762,22,2,d01t11_even
427.191,1209.27,198.629,22,2,d01t11_even
430.336,1216.75,205.244,22,2,d01t11_even
432.24,1230.66,216.757,22,2,d01t11_even
431.725,1236.42,221.252,22,2,d01t11_even
436.768,1243.04,227.545,22,2,d01t11_even
439.422,1168.8,235.516,23,2,d01t11_even
437.195,1204.67,232.817,23,2,d01t11_even
438.089,1222.24,231.497,23,2,d01t11_even
437.073,1234.59,230.568,23,2,d01t11_even
434.527,1242.92,229.938,23,2,d01t11_even
399.461,1185.88,152.171,24,2,d01t11_even
395.105,1200.93,156.284,24,2,d01t11_even
394.574,1213.72,159.856,24,2,d01t11_even
403.416,1223.41,162.778,24,2,d01t11_even
403.855,1233.43,165.592,24,2,d01t11_even
409.778,1241.82,168.082,24,2,d01t11_even
409.227,1249.59,170.247,24,2,d01t11_even
312.638,1191.96,152.852,25,2,d01t11_even
316.373,1215.67,138.426,25,2,d01t11_even
314.695,1235.34,126.968,25,2,d01t11_even
309.608,1252.19,117.537,25,2,d01t11_even
306.819,1259.52,113.501,25,2,d01t11_even
73.1765,1146.72,125.672,26,2,d01t11_even
66.8796,1158.49,123.753,26,2,d01t11_even
67.0296,1177.9,120.122,26,2,d01t11_even
70.3153,1203.05,115.218,26,2,d01t11_even
73.8046,1229.69,110.026,26,2,d01t11_even
44.9125,1188.18,252.812,27,2,d01t11_even
43.6829,1204.23,245.23,27,2,d01t11_even
44.8354,1222.27,236.436,27,2,d01t11_even
44.989,1242.31,226.783,27,2,d01t11_even
52.6233,1254.89,219.921,27,2,d01t11_even
812.024,950.678,174.369,28,2,d01t11_even
823.571,953.394,184.432,28,2,d01t11_even
839.202,954.08,197.769,28,2,d01t11_even
846.362,959.303,204.344,28,2,d01t11_even
855.462,959.995,212.136,28,2,d01t11_even
860.193,958.349,215.997,28,2,d01t11_even
868.787,959.002,223.356,28,2,d01t11_even
849.0,857.6,192.744,29,2,d01t11_even
866.0,875.6,192.984,29,2,d01t11_even
876.652,896.543,193.326,29,2,d01t11_even
884.458,898.704,193.344,29,2,d01t11_even
889.624,896.998,193.295,29,2,d01t11_even
895.714,897.433,193.285,29,2,d01t11_even
898.77,902.091,193.365,29,2,d01t11_even
904.861,902.526,193.354,29,2,d01t11_even
915.357,907.112,193.41,29,2,d01t11_even
867.074,736.988,189.572,30,2,d01t11_even
883.944,737.177,188.316,30,2,d01t11_even
904.107,741.838,186.858,30,2,d01t11_even
924.953,737.977,185.266,30,2,d01t11_even
947.515,735.137,183.556,30,2,d01t11_even
862.484,654.554,123.465,31,2,d01t11_even
868.138,653.411,125.243,31,2,d01t11_even
877.534,653.08,128.193,31,2,d01t11_even
885.628,656.214,130.819,31,2,d01t11_even
892.049,655.245,132.832,31,2,d01t11_even
908.636,654.31,138.059,31,2,d01t11_even
914.825,656.13,140.044,31,2,d01t11_even
920.332,657.339,141.806,31,2,d01t11_even
925.701,661.232,143.605,31,2,d01t11_even
858.038,637.48,139.643,32,2,d01t11_even
871.567,636.99,146.046,32,2,d01t11_even
880.194,639.275,150.103,32,2,d01t11_even
895.024,639.368,157.077,32,2,d01t11_even
908.519,642.911,163.575,32,2,d01t11_even
923.888,646.967,170.894,32,2,d01t11_even
931.113,646.693,174.333,32,2,d01t11_even
862.122,658.235,198.231,33,2,d01t11_even
875.891,657.079,192.393,33,2,d01t11_even
888.545,660.699,187.578,33,2,d01t11_even
903.893,655.566,180.615,33,2,d01t11_even
919.371,654.967,174.134,33,2,d01t11_even
937.491,651.55,166.226,33,2,d01t11_even
358.097,309.854,256.917,34,2,d01t11_even
355.712,291.261,248.518,34,2,d01t11_even
358.522,278.866,242.926,34,2,d01t11_even
356.126,273.762,240.618,34,2,d01t11_even
357.732,266.471,237.328,34,2,d01t11_even
357.793,251.119,230.374,34,2,d01t11_even
359.07,242.413,226.483,34,2,d01t11_even
160.451,329.479,209.389,35,2,d01t11_even
149.827,312.683,213.57,35,2,d01t11_even
142.034,296.774,217.449,35,2,d01t11_even
137.866,291.489,218.794,35,2,d01t11_even
134.048,257.234,226.68,35,2,d01t11_even
252.131,312.621,191.338,36,2,d01t11_even
251.915,299.514,183.551,36,2,d01t11_even
248.752,290.666,178.539,36,2,d01t11_even
248.219,273.858,168.555,36,2,d01t11_even
249.614,258.479,159.283,36,2,d01t11_even
280.425,309.433,326.131,37,2,d01t11_even
285.746,302.882,321.525,37,2,d01t11_even
289.751,295.423,315.918,37,2,d01t11_even
289.516,279.164,302.105,37,2,d01t11_even
287.235,274.014,297.339,37,2,d01t11_even
281.971,270.895,293.764,37,2,d01t11_even
275.065,266.133,288.506,37,2,d01t11_even
267.5,261.172,282.963,37,2,d01t11_even
263.824,307.354,266.72,38,2,d01t11_even
261.361,298.671,266.651,38,2,d01t11_even
262.156,290.4,266.607,38,2,d01t11_even
271.314,271.306,266.552,38,2,d01t11_even
274.304,255.074,266.474,38,2,d01t11_even
269.303,238.081,266.339,38,2,d01t11_even
